input_index,input_x,input_y,polygon_index,tree_top_x,tree_top_y,tree_height,centre_x,centre_y
178,621382.6138450655,7741237.110401945,178,621380.8086039148,7741235.087863942,254.0,621381.466200625,7741236.15447984
179,621384.8401794762,7741234.959754691,179,621387.0921540275,7741235.058154485,239.0,621385.5672101534,7741235.29400124
180,621390.4693817436,7741232.955999531,180,621390.835545584,7741234.122306596,204.0,621389.6234804778,7741234.19251515
181,621392.8348531693,7741234.955802899,181,621393.4202683255,7741232.324884459,236.0,621393.3244746383,7741233.57685053
182,621396.4690278879,7741233.636959664,182,621397.46075445,7741233.8103573,229.0,621397.5017247453,7741232.698880411
183,621402.2059324064,7741232.029910521,183,621402.8381661304,7741231.95351625,222.0,621401.4376349495,7741231.902073834
184,621404.9373132137,7741232.68240836,184,621404.4721862542,7741232.116918262,213.0,621405.3478102628,7741231.196178806
185,621409.2237480324,7741230.569918933,185,621409.270263527,7741231.552438583,247.0,621409.5752176391,7741230.288051747
186,621414.3943655046,7741228.904165928,186,621414.6773846642,7741229.576759705,198.0,621413.5371580748,7741229.535557894
187,621417.4763153711,7741229.437319567,187,621418.7327255171,7741229.532195521,238.0,621417.5938874263,7741228.697287124
188,621421.0593921005,7741227.313736593,188,621422.5206812589,7741228.091286866,219.0,621421.5925914987,7741227.556494146
189,621425.8439267164,7741228.018862155,189,621424.6746168768,7741227.422824088,243.0,621425.4066530137,7741226.626505655
190,621427.7214403071,7741224.595148703,190,621428.9230691987,7741224.273621667,214.0,621429.1933077706,7741225.465049918
191,621434.1525262077,7741224.62952964,191,621432.4436398293,7741224.511297322,233.0,621433.0909489219,7741224.28687227
192,621436.5162498591,7741222.372392538,192,621437.687358954,7741223.679432532,241.0,621437.2482129234,7741223.062165149
193,621440.3053437925,7741222.622954764,193,621440.8959802883,7741222.372216432,209.0,621441.0410098039,7741222.369136891
194,621445.1582085997,7741221.751059386,194,621444.2828583632,7741220.500520654,236.0,621444.9419124273,7741221.379818538
195,621447.7747237172,7741221.546125453,195,621448.7986957964,7741221.510642186,215.0,621449.0064742877,7741220.416104424
196,621452.4283182783,7741217.654814009,196,621454.1315432916,7741218.153473567,233.0,621453.1579254768,7741219.120285662
197,621456.9012347672,7741217.686392637,197,621456.2854789095,7741218.094054653,243.0,621456.7968281619,7741217.768225792
198,621461.1832098346,7741217.462624552,198,621462.4947553802,7741216.385760888,247.0,621460.9603475917,7741216.56607311
199,621465.1595299721,7741215.631154385,199,621464.6189815413,7741215.494477184,221.0,621464.512548169,7741215.3120717
200,621467.0083602346,7741214.220708869,200,621469.2833662585,7741214.395227282,229.0,621468.4900385163,7741213.985605111
201,621470.882627234,7741212.583521957,201,621472.1503288394,7741212.582950417,214.0,621472.3507138836,7741212.833006244
202,621475.2849762993,7741212.055043518,202,621475.2698218032,7741211.54311943,219.0,621476.4009273652,7741211.824709797
203,621480.2651931716,7741210.768440125,203,621480.7066523972,7741211.453991059,220.0,621480.165878879,7741210.72238903
204,621483.4094521186,7741209.714855483,204,621484.2866419413,7741209.819970936,232.0,621484.108698477,7741209.021925195
205,621487.4662624107,7741206.600426942,205,621488.9658813869,7741208.245369726,231.0,621488.1700926244,7741207.924383868
206,621493.2817121627,7741205.338555209,206,621491.238654832,7741206.641059058,235.0,621491.8491709435,7741206.204083676
207,621494.6439351757,7741205.328386201,207,621495.6802186234,7741205.304133503,236.0,621495.3268367886,7741204.546570878
208,621498.6229147457,7741202.636537505,208,621498.131248809,7741203.6255491935,232.0,621499.4006186574,7741202.953801576
